Company,Current CEO,"Gender (1 female, 2 male)",Date Employed
GM,Mary Barra,1,"January 15, 2014"
Best Buy,Corie Barry,1,June 2019
Anthem Inc,Gail Bordeaux,1,"November 6, 2017"
Mylan N.V.,Heather Bresch,1,"January, 2012"
Hershey,Michele Buck,1,"December, 2016"
Ventas,Debra Cafaro,1,1999
Oracle,Safra Catz,1,September 2014
Ulta,Mary Dillon,1,"June, 2013"
Nasdaq,Adena Friedman,1,"January 1, 2017"
Kohls,Michelle Gass,1,2013
Duke,Lynn Good,1,June 2012
Progressive,Tricia Griffith,1,July 2016
Lockheed Martin,Marillyn A. Hewson,1,January 2013
Occidenal,Vicki Hollub,1,April 2016
Franklin Resources,Jennifer Johnson,1,"November 21, 2019"
Synchrony,Margaret M. Keane,1,"February, 2014"
CDW,Christine A. Leahy,1,January 2019
KeyBank,Beth Mooney,1,"May 1, 2011"
General Dynamics,Phebe N. Novakovic,1,2012
Regency Centers,Lisa Palmer,1,"January 1, 2020"
Zoetis,Kristin Peck,1,"January 1, 2020"
CMS,Patricia Poppe,1,July 2016
Ross,Barbara Rentler,1,June 2014
IBM,Virginia Rometty,1,January 2012
Celanese,Lori Ryerkerk,1,"May, 2019"
American Water Works,Susan Story,1,May 2014
Advanced,Lisa Su,1,October 2014
Accenture,Julie Sweet,1,September 2019
Arista,Jayshree V. Ullal,1,October 2008
Northrop,Kathy Warden,1,"January 1, 2019"
Gap,Sonia Syngal,1,"March 23, 2020"
Vertex,Reshma Kewalramani,1,"April 1, 2020"
UPS,Carol Tome,1,"June 1, 2020"
Apple,Tim Cook,2,Aug-11
Microsoft,satya nadella,2,Feb 4 2014
Amazon,jeff bezos,2,1996
Facebook,mark zuckerburg,2,2004
Alphabet,sundar pichai,2,3-Dec-19
Berkshire Hathaway,warren buffet,2,1970
Visa,Alfred F Kelly Jr,2,1-Dec-16
JP Morgan,jamie dimon,2,31-Dec-05
Johnson and Johnson,alex gorsky,2,26-Apr-12
Mastercard,Ajaypal Singh Banga,2,July 1 2010
Walmart,Doug McMillon,2,Feb-14
Proctor and Gamble,David S. Taylor,2,Nov-15
Intel,Bob Swan,2,21-Jun-18
Bank of America,Brian Moynihan,2,Jan-10
At&T,Randall L. Stephenson,2,May-07
United Health,David S. Wichmann,2,Sep-17
ExxonMobile,Darren Woods,2,Jan-17
The home depot,Craig Menear,2,Nov-14
Walt Disney,Bob Chapek,2,Jul-05
Coca-Cola,James Quincey,2,May-17
Verizon,Hans Vestberg,2,Aug-18
Merck,Kenneth C. Frazier,2,Jan-11
Pfizer,Albert Bourla,2,Jan-09
Chevron,Mike Wirth,2,Feb-18
Cisco,Chuck Robbins,2,Jul-15
Comcast,Brian L. Roberts,2,Nov-02
PepsiCo,Ramon Laguarta,2,Oct-18
WellsFargo,Charles W. Scharf,2,1-Oct
Boeing,Dave Calhoun,2,Jan-20
Adobe,Shantanu Narayen,2,Dec-07
Avery Dennison Corp,Mitchell R. Butier,2,May-16
Baker Hughes Co,Lorenzo Simonelli,2,Oct-17
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
