session_id,date,ImplicitGenderVareerAttitude,ExplicitGenderCareerAttitude,politicalid_7,STATE,MSANo,CountyNo,MSAName,month,day,year,hour
2631935946,43101.07921,0.181948563,1,3,AL,13820,73,"Birmingham-Hoover, AL MSA",1,1,2018,1
2631936059,43101.16319,0.220308965,4,7,NY,35620,81,"New York-Northern New Jersey-Long Island, NY-NJ-PA MSA",1,1,2018,3
2631936082,43101.17554,0.463939184,7,4,TX,33260,329,"Midland, TX MSA",1,1,2018,4
2631936421,43101.38166,0.583085679,7,6,CA,41860,13,"San Francisco-Oakland-Fremont, CA MSA",1,1,2018,9
2631936426,43101.38255,0.463570722,5,7,TX,26420,201,"Houston-Sugar Land-Baytown, TX MSA",1,1,2018,9
2631936427,43101.38273,0.080721307,4,5,TX,28660,99,"Killeen-Temple-Fort Hood, TX MSA",1,1,2018,9
2631936567,43101.42956,-0.176416622,5,6,PA,99037,63,PA NONMETROPOLITAN AREA,1,1,2018,10
2631936603,43101.43925,0.909956983,4,7,PA,99037,63,PA NONMETROPOLITAN AREA,1,1,2018,10
2631936722,43101.46926,0.242699592,4,7,SC,99038,61,SC NONMETROPOLITAN AREA,1,1,2018,11
2631936799,43101.48845,0.632793862,4,7,MA,14460,25,"Boston-Cambridge-Quincy, MA-NH MSA",1,1,2018,11
2631936865,43101.50193,-0.370053344,5,1,MO,99025,205,MO NONMETROPOLITAN AREA,1,1,2018,12
2631936913,43101.51521,0.573490233,4,4,TX,19100,85,"Dallas-Fort Worth-Arlington, TX MSA",1,1,2018,12
2631936967,43101.52747,0.525375168,4,3,CA,31100,37,"Los Angeles-Long Beach-Santa Ana, CA MSA",1,1,2018,12
2631937021,43101.5403,0.559189272,5,6,ME,38860,31,"Portland-South Portland-Biddeford, ME MSA",1,1,2018,12
2631937052,43101.5469,0.061987688,5,7,MI,11460,161,"Ann Arbor, MI MSA",1,1,2018,13
2631937077,43101.55253,0.396922144,4,3,WA,99045,41,WA NONMETROPOLITAN AREA,1,1,2018,13
2631937202,43101.57668,0.761470369,6,5,MI,19820,163,"Detroit-Warren-Livonia, MI MSA",1,1,2018,13
2631937232,43101.58477,0.677109266,6,5,MA,14460,25,"Boston-Cambridge-Quincy, MA-NH MSA",1,1,2018,14
2631937281,43101.59677,-0.062499823,2,2,OK,46140,143,"Tulsa, OK MSA",1,1,2018,14
2631937387,43101.62007,-0.148756386,5,4,MD,12580,3,"Baltimore-Towson, MD MSA",1,1,2018,14
2631937397,43101.62306,0.580769588,4,3,WY,16220,25,"Casper, WY MSA",1,1,2018,14
2631937574,43101.65749,0.665770052,5,7,MD,12580,27,"Baltimore-Towson, MD MSA",1,1,2018,15
2631937610,43101.66262,-0.692292864,7,1,OH,17460,93,"Cleveland-Elyria-Mentor, OH MSA",1,1,2018,15
2631937614,43101.66285,0.371730548,5,5,IN,26900,11,"Indianapolis-Carmel, IN MSA",1,1,2018,15
2631937683,43101.67697,0.285041006,4,7,CA,31100,37,"Los Angeles-Long Beach-Santa Ana, CA MSA",1,1,2018,16
2631937742,43101.68913,0.391603672,4,5,CA,41860,13,"San Francisco-Oakland-Fremont, CA MSA",1,1,2018,16
2631937777,43101.69689,0.319625632,4,6,PA,38300,3,"Pittsburgh, PA MSA",1,1,2018,16
2631937812,43101.70378,-0.175710961,5,6,KS,45820,177,"Topeka, KS MSA",1,1,2018,16
2631937953,43101.72745,0.489328445,5,7,PA,37980,45,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1,1,2018,17
2631937955,43101.72766,0.986800561,4,1,MA,14460,21,"Boston-Cambridge-Quincy, MA-NH MSA",1,1,2018,17
2631937964,43101.72963,0.604844457,5,4,OH,17140,61,"Cincinnati-Middletown, OH-KY-IN MSA",1,1,2018,17
2631938197,43101.76963,0.450751128,4, ,LA,35380,95,"New Orleans-Metairie-Kenner, LA MSA",1,1,2018,18
2631938322,43101.79417,0.871691851,2,4,LA,35380,51,"New Orleans-Metairie-Kenner, LA MSA",1,1,2018,19
2631938358,43101.80242,0.22500328,4,6,MA,14460,25,"Boston-Cambridge-Quincy, MA-NH MSA",1,1,2018,19
2631938401,43101.81068,-0.236752975,2,5,CA,41860,1,"San Francisco-Oakland-Fremont, CA MSA",1,1,2018,19
2631938407,43101.8115,0.553394702,7,7,MA,14460,17,"Boston-Cambridge-Quincy, MA-NH MSA",1,1,2018,19
2631938571,43101.84093,0.836163928,1,3,VA,40060,87,"Richmond, VA MSA",1,1,2018,20
2631938583,43101.84267,0.457137385,6,6,MN,33460,123,"Minneapolis-St. Paul-Bloomington, MN-WI MSA",1,1,2018,20
2631938590,43101.84495,0.396163394,5,5,CT,25540,3,"Hartford-West Hartford-East Hartford, CT MSA",1,1,2018,20
2631938605,43101.84916,0.296773098,4,6,WI,33340,133," Milwaukee-Waukesha-West Allis, WI MSA",1,1,2018,20
